Agency_Name,url,existence_of_doctors,Reviews,Number_of_interventions,Price_Average,Before_After_Images
amirchaibi,http://www.amirchaibi.com/,1,1,22.0,,0
carthagomed,https://www.carthagomed.com,0,0,66.0,4274.0,1
centremahassen,https://www.centremahassen.com/,0,0,10.0,0.0,0
,https://chirurgieentunisie.com/,1,0,39.0,,0
chirurgieesthetiquetunisie,https://www.chirurgieesthetiquetunisie.fr/,0,0,13.0,34082.0,0
chirurgiepro,https://www.chirurgiepro.net,0,0,25.0,11053.0,0
clinique-elyosr,https://www.clinique-elyosr.com/,0,0,,,0
clinique-esthetique-carthagene,https://www.clinique-esthetique-carthagene.com/,1,0,40.0,,0
,https://clinique-saint-augustin.com/,0,0,34.0,27.0,0
,https://cliniquelesoliviers.net/,1,0,,,0
docteur-hichem-mahmoud,https://www.docteur-hichem-mahmoud.com/,1,0,39.0,,0
docteur-sami-mezhoud,https://www.docteur-sami-mezhoud.com/,1,0,23.0,,0
dr-benamara-imene,https://www.dr-benamara-imene.com/  ,0,0,,,0
dr-benjemaa,https://www.dr-benjemaa.com/,1,0,17.0,,1
dr-chiraz-bouzguenda,https://www.dr-chiraz-bouzguenda.fr/,1,0,,,1
dr-houda-kebaili,http://www.dr-houda-kebaili.com/,1,0,96.0,,0
dr-mourad-zinelabidine,https://www.dr-mourad-zinelabidine.com/,0,0,,,0
dr-samia-aoun,http://www.dr-samia-aoun.com/galerie/photos/evenement/,1,1,,,0
drbalti,https://www.drbalti.com/,1,0,30.0,,0
drgharbinedra,https://www.drgharbinedra.com/,1,0,20.0,,0
,https://idealmed-tunisie.com/,0,1,54.0,,0
medespoir,https://www.medespoir.fr/,1,1,62.0,,1
,https://medical-travel.fr/chirurgiens,1,0,49.0,0.0,0
,https://medicalys-tunisie.com/,1,1,117.0,,0
sesoignerentunisie,http://www.sesoignerentunisie.com/,1,1,52.0,,0
tunisieesthetique,https://www.tunisieesthetique.fr/clinique/,1,0,41.0,,0
,https://venus-estetika.com/,1,0,45.0,0.0,0
